CartoSanté; ; 
Référentiel géographique : France par bassin de vie / canton-ville; ; 
Code;Libellé;APL Médecins généralistes 2023
29195;Plouguerneau;3.1
29197;Plouhinec;4.8
29199;Plouigneau;3.4
2921;Pont-de-Buis-lès-Quimerch;4.7
29218;Pont-Croix;5.6
29220;Pont-l'Abbé;4.4
2923;Quimper-1;3.5
29233;Quimperlé;4.4
29241;Rosporden;3.8
29259;Saint-Pol-de-Léon;3.8
29260;Saint-Renan;4.5
2927;Saint-Renan;3.6
29274;Scaër;2.6
2998;Brest;5.2
2999;Quimper;4.8
2A041;Bonifacio;3.5
2A05;Ajaccio-5;2
2A08;Gravona-Prunelli;1.9
2A10;Sevi-Sorru-Cinarca;5.5
2A11;Taravo-Ornano;2.5
2A130;Grosseto-Prugna;3.8
2A247;Porto-Vecchio;5.6
2A249;Propriano;3.6
2A272;Sartène;4
2A98;Ajaccio;3.9
2B01;Bastia-1;2.6
2B04;Bastia-4;3
2B042;Borgo;4.4
2B05;Biguglia-Nebbio;2.1
2B050;Calvi;3.9
2B08;Cap Corse;3
2B096;Corte;3
2B123;Ghisonaccia;3
2B134;L'Île-Rousse;3.4
2B207;Penta-di-Casinca;3.7
2B251;Prunelli-di-Fiumorbo;5.2
2B298;Saint-Florent;5.7
2B99;Bastia;4
30003;Aigues-Mortes;3.8
30006;Aimargues;5.1
3001;Aigues-Mortes;5
3002;Alès-1;3.4
30028;Bagnols-sur-Cèze;2.7
30029;Barjac;2.3
3003;Alès-2;2.8
30034;Bellegarde;3.6
30037;Bessèges;4.2
3004;Alès-3;3.1
30047;Bouillargues;4.3
3006;Beaucaire;3.1
30061;La Calmette;3.6
30062;Calvisson;3.9
3008;La Grand-Combe;2.7
3009;Marguerittes;3.5
30132;La Grand-Combe;2.7
3015;Quissac;3.5
30155;Manduel;3.6
3016;Redessan;3.8
3018;Rousson;3.5
3019;Saint-Gilles;3.6
30202;Pont-Saint-Esprit;2.5
3021;Vauvert;3.5
30210;Quissac;4.8
30212;Remoulins;4
30217;Rochefort-du-Gard;2.9
30221;Roquemaure;2.5
3023;Villeneuve-lès-Avignon;3.7
30255;Saint-Geniès-de-Malgoirès;3.1
30258;Saint-Gilles;2.4
30263;Saint-Hippolyte-du-Fort;2.9
30269;Saint-Jean-du-Gard;3.6
30321;Sommières;3.1
30334;Uzès;3.9
30341;Vauvert;3.4
30344;Vergèze;5
30350;Le Vigan;3.4
3098;Alès;3.6
3099;Nîmes;4.1
3101;Auterive;5.5
3103;Blagnac;4.4
31033;Auterive;3.8
3104;Castanet-Tolosan;4.7
31042;Bagnères-de-Luchon;5.8
3105;Castelginest;4.2
31066;Bessières;2.9
3107;Escalquens;4.2
3108;Léguevin;4.1
31080;Boulogne-sur-Gesse;3.1
3109;Muret;5.1
3110;Pechbonnieu;4
31106;Caraman;2.4
31107;Carbonne;4.2
3111;Plaisance-du-Touch;3.5
3112;Portet-sur-Garonne;4.8
3113;Revel;3.6
31135;Cazères;3.2
31202;Fronton;3.2
3121;Toulouse-7;4.9
3122;Toulouse-8;4.5
3123;Toulouse-9;5.8
31232;Grenade;3.5
31239;L'Isle-en-Dodon;3.1
3124;Toulouse-10;6.3
3125;Toulouse-11;5
3126;Tournefeuille;4.3
3127;Villemur-sur-Tarn;3.8
31324;Martres-Tolosane;4.6
31358;Montastruc-la-Conseillère;5.1
31390;Montréjeau;2.7
31396;Nailloux;4.8
31399;Noé;5.3
31451;Revel;3.7
31454;Rieumes;2.9
31483;Saint-Gaudens;3.1
31499;Saint-Lys;3
31523;Salies-du-Salat;3
31573;Verfeil;3.3
31574;Vernet;4.6
31582;Villefranche-de-Lauragais;4.8
31584;Villemur-sur-Tarn;2.7
3199;Toulouse;4.6
32013;Auch;3.4
32096;Cazaubon;2.2
32107;Condom;3.5
32119;Eauze;3.8
3212;Grand-Bas-Armagnac;2.8
3213;L'Isle-Jourdain;3.8
