code;deces_domicilies_2024;part_75_ans_plus;taux_pauvrete;revenu_median;part_sans_diplome;part_ouvriers;part_familles_monoparentales;part_moins_15_ans;taille_menage;part_locataires;part_locataires_HLM;part_suroccupation;part_residences_principales;part_appartements;part_maisons;densite_population;part_benef_ophtalmo;apl_generaliste;densite_orthophonistes;densite_generalistes;densite_infirmiers;densite_sages_femmes;part_benef_ald;densite_pharmacies;libelle
59324;191;8.1;30.1;18200.0;26.1;25.4;25.3;21.6;2.34;45.2;27.7;0.2;92.9;19.6;80.3;515.1;24.3;3.2;35.3;8.2;14.1;0.0;19.0;2.9;Jeumont
59331;118;9.1;19.9;20250.0;26.8;23.8;17.6;18.9;2.31;32.4;9.4;0.2;88.8;13.1;86.5;87.6;27.4;3.4;30.7;7.2;22.5;4.0;17.0;5.1;Landrecies
59350;7779;7.1;20.4;21980.0;20.8;15.1;20.1;18.7;2.17;51.3;22.5;0.8;91.8;51.2;47.9;2202.0;25.9;5.4;65.0;10.4;14.6;2.5;15.6;3.2;Lille
59375;70;7.6;9.7;24830.0;16.6;18.4;12.0;19.3;2.42;19.1;6.0;0.3;92.0;7.9;92.0;197.8;25.9;4.3;75.2;8.8;21.3;2.5;16.0;1.3;Marchiennes
59392;827;8.6;28.9;18220.0;25.8;29.2;21.4;19.8;2.3;43.2;23.9;0.5;90.2;24.6;74.8;348.6;26.1;3.5;45.2;5.3;22.2;1.8;20.2;3.4;Maubeuge
59400;433;7.9;10.8;22960.0;21.4;28.2;12.5;19.4;2.43;27.6;11.6;0.2;92.9;11.1;88.7;270.0;26.3;4.8;67.6;10.0;15.9;1.8;17.6;3.0;Merville
59449;203;7.8;8.1;25470.0;16.2;26.0;12.6;18.0;2.34;29.3;11.3;0.1;93.3;16.4;83.2;254.7;28.4;5.4;87.4;15.4;15.4;4.9;17.1;3.3;Orchies
59462;61;9.2;5.5;26880.0;13.4;32.0;15.0;16.4;2.27;22.3;6.4;0.5;94.0;17.9;82.0;430.0;31.5;5.3;45.5;13.7;21.3;0.0;16.7;4.6;Phalempin
59466;199;6.7;5.8;28220.0;14.4;30.2;11.9;18.2;2.42;21.0;6.4;0.4;93.9;11.3;88.4;326.9;31.2;4.9;52.7;12.4;16.1;5.5;15.5;3.4;Pont-à-Marcq
59481;264;9.0;13.0;23170.0;19.8;23.2;14.0;18.1;2.35;25.0;8.1;0.3;90.4;9.5;89.4;92.9;31.6;3.4;50.5;9.7;19.4;2.5;16.6;2.5;Le Quesnoy
